solving # 100 problems
device: cuda:0, devices: [0], on_gpu: True
Times - pop: 0.57, expand: 22.77, check: 4.66, heur: 29.96, add: 11.25, itr: 69.21, num_itrs: 17
State: 64, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,574,352, Time: 69.81
Times - pop: 0.91, expand: 49.08, check: 6.82, heur: 43.71, add: 7.18, itr: 107.70, num_itrs: 23
State: 65, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 2,294,352, Time: 108.03
Times - pop: 0.35, expand: 20.88, check: 3.21, heur: 20.80, add: 0.97, itr: 46.20, num_itrs: 13
State: 66, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,094,352, Time: 46.63
Times - pop: 0.58, expand: 31.98, check: 4.63, heur: 29.96, add: 9.91, itr: 77.07, num_itrs: 17
State: 67, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,574,352, Time: 77.29
Times - pop: 0.41, expand: 22.08, check: 3.87, heur: 23.25, add: 1.08, itr: 50.70, num_itrs: 14
State: 68, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,214,352, Time: 51.00
Times - pop: 0.21, expand: 19.98, check: 2.18, heur: 13.92, add: 0.66, itr: 36.95, num_itrs: 10
State: 69, SolnCost: 9.00, # Moves: 9, # Nodes Gen: 734,352, Time: 37.18
Times - pop: 0.47, expand: 21.79, check: 3.89, heur: 25.37, add: 4.49, itr: 56.00, num_itrs: 15
State: 70, SolnCost: 14.00, # Moves: 14, # Nodes Gen: 1,334,352, Time: 56.16
Times - pop: 0.96, expand: 39.16, check: 7.19, heur: 46.05, add: 2.08, itr: 95.43, num_itrs: 24
State: 71, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 2,414,352, Time: 95.71
Times - pop: 0.60, expand: 36.73, check: 5.07, heur: 32.29, add: 1.47, itr: 76.17, num_itrs: 18
State: 72, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 76.61
Times - pop: 0.51, expand: 18.28, check: 4.25, heur: 27.63, add: 19.29, itr: 69.97, num_itrs: 16
State: 73, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,454,352, Time: 70.28
Times - pop: 0.48, expand: 29.93, check: 3.95, heur: 25.54, add: 1.20, itr: 61.09, num_itrs: 15
State: 74, SolnCost: 14.00, # Moves: 14, # Nodes Gen: 1,334,352, Time: 61.37
Times - pop: 0.58, expand: 33.25, check: 4.91, heur: 30.04, add: 1.38, itr: 70.15, num_itrs: 17
State: 75, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,574,352, Time: 70.42
Times - pop: 0.64, expand: 21.01, check: 5.06, heur: 32.41, add: 17.78, itr: 76.90, num_itrs: 18
State: 76, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,694,352, Time: 77.22
Times - pop: 0.30, expand: 5.23, check: 2.87, heur: 18.43, add: 14.49, itr: 41.32, num_itrs: 12
State: 77, SolnCost: 11.00, # Moves: 11, # Nodes Gen: 974,352, Time: 41.65
Times - pop: 0.79, expand: 36.79, check: 6.09, heur: 39.21, add: 6.56, itr: 89.43, num_itrs: 21
State: 78, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 2,054,352, Time: 89.65
Times - pop: 0.57, expand: 31.93, check: 4.56, heur: 30.03, add: 1.37, itr: 68.46, num_itrs: 17
State: 79, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,574,352, Time: 68.85
Times - pop: 0.50, expand: 29.68, check: 4.37, heur: 27.64, add: 1.26, itr: 63.46, num_itrs: 16
State: 80, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,454,352, Time: 63.76
Times - pop: 0.65, expand: 35.02, check: 5.01, heur: 32.24, add: 1.54, itr: 74.46, num_itrs: 18
State: 81, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,694,352, Time: 74.76
Times - pop: 0.43, expand: 23.52, check: 3.84, heur: 25.33, add: 6.61, itr: 59.74, num_itrs: 15
State: 82, SolnCost: 14.00, # Moves: 14, # Nodes Gen: 1,334,352, Time: 60.06
Times - pop: 0.63, expand: 26.20, check: 5.08, heur: 32.47, add: 10.47, itr: 74.86, num_itrs: 18
State: 83, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 75.12
Times - pop: 0.36, expand: 28.62, check: 3.46, heur: 20.91, add: 1.05, itr: 54.40, num_itrs: 13
State: 84, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,094,352, Time: 54.73
Times - pop: 0.62, expand: 26.36, check: 5.03, heur: 32.20, add: 5.25, itr: 69.46, num_itrs: 18
State: 85, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 69.70
Times - pop: 0.73, expand: 31.32, check: 5.81, heur: 36.86, add: 6.90, itr: 81.62, num_itrs: 20
State: 86, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,934,352, Time: 81.95
Times - pop: 0.62, expand: 23.41, check: 5.20, heur: 32.38, add: 19.60, itr: 81.21, num_itrs: 18
State: 87, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 81.59
Times - pop: 0.35, expand: 11.64, check: 3.28, heur: 20.77, add: 16.31, itr: 52.35, num_itrs: 13
State: 88, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 1,094,352, Time: 52.66
Times - pop: 0.60, expand: 25.52, check: 5.05, heur: 32.24, add: 6.18, itr: 69.60, num_itrs: 18
State: 89, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 69.82
Times - pop: 0.91, expand: 40.48, check: 7.22, heur: 45.96, add: 7.36, itr: 101.92, num_itrs: 24
State: 90, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 2,414,352, Time: 102.26
Times - pop: 0.86, expand: 43.87, check: 6.91, heur: 43.65, add: 1.93, itr: 97.22, num_itrs: 23
State: 91, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 2,294,352, Time: 97.67
Times - pop: 0.71, expand: 36.90, check: 5.81, heur: 36.66, add: 1.63, itr: 81.71, num_itrs: 20
State: 92, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,934,352, Time: 82.14
Times - pop: 0.72, expand: 44.57, check: 5.72, heur: 36.88, add: 1.66, itr: 89.54, num_itrs: 20
State: 93, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 1,934,352, Time: 89.92
Times - pop: 0.73, expand: 44.46, check: 5.92, heur: 36.81, add: 1.76, itr: 89.67, num_itrs: 20
State: 94, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,934,352, Time: 90.04
Times - pop: 0.44, expand: 29.47, check: 3.99, heur: 25.36, add: 1.18, itr: 60.44, num_itrs: 15
State: 95, SolnCost: 14.00, # Moves: 14, # Nodes Gen: 1,334,352, Time: 60.80
Times - pop: 0.78, expand: 21.23, check: 6.14, heur: 39.13, add: 21.34, itr: 88.61, num_itrs: 21
State: 96, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 2,054,352, Time: 88.89
Times - pop: 0.61, expand: 28.24, check: 5.13, heur: 32.32, add: 1.48, itr: 67.78, num_itrs: 18
State: 97, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,694,352, Time: 68.17
Times - pop: 1.23, expand: 54.64, check: 9.03, heur: 57.51, add: 10.49, itr: 132.89, num_itrs: 29
State: 98, SolnCost: 18.00, # Moves: 18, # Nodes Gen: 3,014,352, Time: 133.26
Times - pop: 0.52, expand: 33.83, check: 4.39, heur: 27.66, add: 1.29, itr: 67.69, num_itrs: 16
State: 99, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 68.24
